Rentrée scolaire;UAI;IPS;Ecart-type de l'IPS
2023;0594415D;96.4;31.2
2023;0594534H;88.2;27.1
2023;0594638W;99.9;31.7
2023;0594648G;95.0;33.7
2023;0595166V;126.5;35.0
2023;0595168X;68.4;18.7
2023;0595302T;98.7;30.1
2023;0595360F;136.3;26.0
2023;0595387K;128.2;29.7
2023;0595388L;91.9;28.5
2023;0595390N;94.9;24.0
2023;0595595L;96.9;31.8
2023;0595656C;111.7;36.7
2023;0595758N;100.1;31.5
2023;0595993U;163.3;6.0
2023;0596846W;116.3;29.8
2023;0597004T;77.9;26.6
2023;0600012M;108.9;29.6
2023;0600022Y;68.9;21.7
2023;0600027D;95.6;30.5
2023;0600032J;97.1;29.9
2023;0600046Z;97.5;28.2
2023;0601145U;131.3;19.2
2023;0601449Z;85.6;26.6
2023;0601471Y;106.8;29.2
2023;0601524F;73.2;25.1
2023;0601821D;93.6;29.1
2023;0601833S;110.7;30.3
2023;0601846F;94.7;23.7
2023;0601970R;99.6;29.2
2023;0610003X;103.9;33.3
2023;0610012G;100.6;31.7
2023;0610023U;98.0;32.9
2023;0610745D;89.1;28.1
2023;0611095J;109.2;25.7
2023;0611156A;91.1;28.3
2023;0611220V;92.0;24.0
2023;0620025R;89.9;31.2
2023;0620031X;90.6;28.4
2023;0620036C;83.8;28.4
2023;0620047P;107.1;33.2
2023;0620055Y;62.8;17.1
2023;0620071R;94.5;31.8
2023;0620085F;89.9;27.6
2023;0620097U;92.8;30.3
2023;0620136L;91.1;28.3
2023;0620165T;98.5;35.7
2023;0620199E;89.4;33.9
2023;0622085E;94.6;31.7
2023;0622086F;91.5;33.5
2023;0622090K;90.0;31.4
2023;0622095R;78.5;24.4
2023;0622104A;110.6;27.4
2023;0622125Y;130.3;28.0
2023;0622131E;98.1;24.2
2023;0622134H;118.7;31.1
2023;0622142S;103.9;27.4
2023;0622420U;75.8;24.2
2023;0622423X;76.1;23.6
2023;0622424Y;76.1;23.6
2023;0622575M;96.5;33.1
2023;0622789V;81.1;32.0
2023;0622795B;94.4;32.9
2023;0622867E;94.9;30.1
2023;0622873L;100.0;32.3
2023;0622907Y;75.9;26.0
2023;0622951W;100.3;33.0
2023;0623022Y;87.0;26.3
2023;0623572W;126.3;29.1
2023;0630006P;94.8;23.3
2023;0630009T;106.4;32.9
2023;0630010U;101.2;28.9
2023;0630016A;114.5;33.7
2023;0630017B;117.7;35.6
2023;0630059X;104.3;28.9
2023;0630065D;95.3;22.3
2023;0631099C;106.9;28.9
2023;0631109N;92.7;22.8
2023;0631120A;70.5;26.3
2023;0631199L;67.8;21.5
2023;0631238D;86.9;30.4
2023;0631411S;100.9;40.6
2023;0631448G;104.2;33.8
2023;0631482U;93.3;26.7
2023;0631522M;73.7;21.7
2023;0631523N;94.8;33.4
2023;0631580A;113.0;36.1
2023;0631762Y;88.1;26.9
2023;0631763Z;104.7;37.1
2023;0640019Y;110.6;32.2
2023;0640039V;98.7;27.3
2023;0640069C;99.3;26.1
2023;0640078M;120.2;31.5
2023;0640112Z;130.4;27.1
2023;0640119G;104.7;26.5
2023;0640132W;105.1;31.5
2023;0640161C;112.2;26.6
2023;0640168K;102.7;22.5
2023;0640228A;104.4;33.7
2023;0640608N;83.1;31.7
2023;0640609P;83.7;27.9
2023;0641392R;103.5;31.4
2023;0641393S;102.6;30.9
2023;0641652Y;124.3;29.9
2023;0641657D;117.7;28.4
2023;0641658E;113.6;30.8
2023;0641659F;119.8;28.2
2023;0641941M;120.1;29.0
2023;0642006H;119.2;29.3
2023;0642010M;90.5;22.0
2023;0642114A;123.3;28.6
2023;0650015N;95.3;28.9
2023;0650020U;98.9;24.6
2023;0650033H;91.9;31.3
2023;0650036L;108.9;29.3
2023;0650738Z;105.6;30.0
2023;0650740B;97.0;35.4
2023;0650836F;115.3;32.1
2023;0650877A;100.4;24.2
2023;0651004N;112.2;28.1
2023;0660028X;95.1;28.0
2023;0660030Z;101.4;31.2
2023;0660068R;102.8;30.7
2023;0660522J;63.3;15.9
2023;0660600U;111.1;29.3
2023;0660601V;102.5;30.9
2023;0660634F;116.4;32.1
2023;0660846L;123.9;27.8
2023;0660848N;102.9;30.4
2023;0660925X;99.6;31.7
2023;0670003P;105.8;33.2
2023;0670004R;82.8;31.1
2023;0670076U;103.7;33.3
2023;0670106B;105.3;31.0
2023;0670107C;121.9;31.9
2023;0671508A;77.7;26.8
2023;0671600A;97.5;32.9
2023;0671601B;109.7;36.0
2023;0671604E;127.1;28.2
2023;0671691Z;74.7;23.0
2023;0671738A;101.3;31.6
2023;0671739B;99.0;30.1
2023;0671740C;103.1;32.4
2023;0671741D;100.6;30.5
2023;0671825V;68.3;20.9
2023;0671912P;101.5;33.0
2023;0671958P;123.1;43.2
2023;0671963V;103.1;31.2
2023;0671986V;95.2;36.8
2023;0671989Y;118.5;33.8
2023;0672012Y;115.5;33.0
2023;0672128Z;86.9;32.1
2023;0672193V;124.5;32.9
2023;0672298J;118.4;27.9
2023;0672303P;121.8;27.6
2023;0672896J;114.3;32.7
2023;0673006D;102.0;34.6
2023;0673079H;137.9;32.6
2023;0680014W;103.1;33.3
2023;0680056S;105.9;30.5
2023;0680064A;97.6;30.8
2023;0680136D;120.9;29.6
2023;0680144M;115.7;29.9
2023;0681265F;107.7;32.3
2023;0681370V;95.6;33.1
2023;0681394W;84.1;27.9
2023;0681539D;103.7;33.3
2023;0681713T;103.3;35.1
2023;0682017Y;114.8;33.3
2023;0690001B;104.4;30.6
2023;0690005F;103.1;29.8
2023;0690280E;84.6;30.6
2023;0690510E;135.4;26.2
2023;0690580F;117.4;27.3
2023;0690597Z;119.4;33.3
2023;0690601D;118.3;28.5
2023;0690611P;134.4;25.3
